patch_20286776 install log: 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_AR_GET_BILLS.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_AR_GET_BILLS.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_AR_GET_BILLS.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_SET_PRODUCT_STATUS.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_SET_PRODUCT_STATUS.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_SET_PRODUCT_STATUS.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_AR_GET_ACTION_ITEMS.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_AR_GET_ACTION_ITEMS.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_AR_GET_ACTION_ITEMS.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_COLLECTIONS_GROUP_ADD_MEMBER.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_COLLECTIONS_GROUP_ADD_MEMBER.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_COLLECTIONS_GROUP_ADD_MEMBER.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_TRANS_COMMIT.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_TRANS_COMMIT.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_TRANS_COMMIT.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_COLLECTIONS_UPDATE_ACTION_PAYMENT_DETAILS.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_COLLECTIONS_UPDATE_ACTION_PAYMENT_DETAILS.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_COLLECTIONS_UPDATE_ACTION_PAYMENT_DETAILS.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_CUST_GET_NOTE.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_CUST_GET_NOTE.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_CUST_GET_NOTE.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_AR_ACCOUNT_ADJUSTMENT.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_AR_ACCOUNT_ADJUSTMENT.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_AR_ACCOUNT_ADJUSTMENT.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_PYMT_TOPUP.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_PYMT_TOPUP.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_PYMT_TOPUP.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_SET_BUNDLE.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_SET_BUNDLE.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_SET_BUNDLE.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_CUST_UPDATE_CUSTOMER.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_CUST_UPDATE_CUSTOMER.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_CUST_UPDATE_CUSTOMER.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_BAL_GET_ACCT_BAL_GRP_AND_SVC.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_BAL_GET_ACCT_BAL_GRP_AND_SVC.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_BAL_GET_ACCT_BAL_GRP_AND_SVC.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_COLLECTIONS_GROUP_MODIFY.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_COLLECTIONS_GROUP_MODIFY.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_COLLECTIONS_GROUP_MODIFY.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_PRICE_SET_PRICE_LIST.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_PRICE_SET_PRICE_LIST.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_PRICE_SET_PRICE_LIST.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_SET_PRODINFO.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_SET_PRODINFO.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_SET_PRODINFO.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_SERVICE_BALGRP_TRANSFER.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_SERVICE_BALGRP_TRANSFER.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_SERVICE_BALGRP_TRANSFER.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_SHARING_GROUP_CREATE.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_SHARING_GROUP_CREATE.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_SHARING_GROUP_CREATE.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_ORDERED_BALGRP.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_ORDERED_BALGRP.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_ORDERED_BALGRP.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_AR_RESOURCE_AGGREGATION.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_AR_RESOURCE_AGGREGATION.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_AR_RESOURCE_AGGREGATION.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/account.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/account.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/account.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_CUST_MODIFY_CUSTOMER.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_CUST_MODIFY_CUSTOMER.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_CUST_MODIFY_CUSTOMER.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_GET_PURCHASED_OFFERINGS.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_GET_PURCHASED_OFFERINGS.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_GET_PURCHASED_OFFERINGS.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_COLLECTIONS_GET_SCENARIO_DETAIL.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_COLLECTIONS_GET_SCENARIO_DETAIL.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_COLLECTIONS_GET_SCENARIO_DETAIL.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_CUSTCARE_MOVE_ACCT.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_CUSTCARE_MOVE_ACCT.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_CUSTCARE_MOVE_ACCT.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_CUST_DELETE_PAYINFO.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_CUST_DELETE_PAYINFO.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_CUST_DELETE_PAYINFO.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_PRICE_COMMIT_DISCOUNT.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_PRICE_COMMIT_DISCOUNT.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_PRICE_COMMIT_DISCOUNT.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_CUST_SET_NOTE.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_CUST_SET_NOTE.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_CUST_SET_NOTE.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_PYMT_COLLECT.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_PYMT_COLLECT.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_PYMT_COLLECT.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_BILL_GROUP_MOVE_MEMBER.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_BILL_GROUP_MOVE_MEMBER.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_BILL_GROUP_MOVE_MEMBER.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_CUST_MODIFY_PROFILE.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_CUST_MODIFY_PROFILE.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_CUST_MODIFY_PROFILE.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_COLLECTIONS_ADD_ACTION.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_COLLECTIONS_ADD_ACTION.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_COLLECTIONS_ADD_ACTION.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_AR_GET_ACCT_ACTION_ITEMS.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_AR_GET_ACCT_ACTION_ITEMS.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_AR_GET_ACCT_ACTION_ITEMS.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_SHARING_GROUP_DELETE.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_SHARING_GROUP_DELETE.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_SHARING_GROUP_DELETE.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_COLLECTIONS_SET_ACTION_STATUS.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_COLLECTIONS_SET_ACTION_STATUS.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_COLLECTIONS_SET_ACTION_STATUS.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_COLLECTIONS_GROUP_DELETE_MEMBER.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_COLLECTIONS_GROUP_DELETE_MEMBER.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_COLLECTIONS_GROUP_DELETE_MEMBER.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_BAL_GET_BAL_GRP_AND_SVC.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_BAL_GET_BAL_GRP_AND_SVC.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_BAL_GET_BAL_GRP_AND_SVC.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_TRANSFER_SUBSCRIPTION.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_TRANSFER_SUBSCRIPTION.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_TRANSFER_SUBSCRIPTION.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_BILL_GET_ITEM_EVENT_CHARGE_DISCOUNT.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_BILL_GET_ITEM_EVENT_CHARGE_DISCOUNT.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_BILL_GET_ITEM_EVENT_CHARGE_DISCOUNT.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_COLLECTIONS_GROUP_DELETE.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_COLLECTIONS_GROUP_DELETE.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_COLLECTIONS_GROUP_DELETE.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_COLLECTIONS_REVOKE_PROMISE_TO_PAY.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_COLLECTIONS_REVOKE_PROMISE_TO_PAY.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_COLLECTIONS_REVOKE_PROMISE_TO_PAY.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_INV_VIEW_INVOICE.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_INV_VIEW_INVOICE.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_INV_VIEW_INVOICE.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_CUST_SET_STATUS.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_CUST_SET_STATUS.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_CUST_SET_STATUS.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_PRICE_GET_PRICE_LIST.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_PRICE_GET_PRICE_LIST.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_PRICE_GET_PRICE_LIST.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_AR_GET_BILL_ITEMS.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_AR_GET_BILL_ITEMS.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_AR_GET_BILL_ITEMS.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/billinfo.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/billinfo.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/billinfo.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_AR_GET_ACCT_BILLS.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_AR_GET_ACCT_BILLS.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_AR_GET_ACCT_BILLS.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_COLLECTIONS_GROUP_SET_PARENT.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_COLLECTIONS_GROUP_SET_PARENT.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_COLLECTIONS_GROUP_SET_PARENT.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_CUST_COMMIT_CUSTOMER.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_CUST_COMMIT_CUSTOMER.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_CUST_COMMIT_CUSTOMER.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_CUST_UPDATE_SERVICES.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_CUST_UPDATE_SERVICES.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_CUST_UPDATE_SERVICES.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_COLLECTIONS_INVOKE_PROMISE_TO_PAY.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_COLLECTIONS_INVOKE_PROMISE_TO_PAY.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_COLLECTIONS_INVOKE_PROMISE_TO_PAY.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_CHANGE_DEAL.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_CHANGE_DEAL.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_CHANGE_DEAL.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_CANCEL_PRODUCT.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_CANCEL_PRODUCT.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_CANCEL_PRODUCT.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_COLLECTIONS_EXEMPT_BILLINFO.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_COLLECTIONS_EXEMPT_BILLINFO.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_COLLECTIONS_EXEMPT_BILLINFO.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_CUST_DELETE_ACCT.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_CUST_DELETE_ACCT.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_CUST_DELETE_ACCT.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_CANCEL_SUBSCRIPTION.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_CANCEL_SUBSCRIPTION.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_CANCEL_SUBSCRIPTION.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_COLLECTIONS_GROUP_GET_BILLINFO.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_COLLECTIONS_GROUP_GET_BILLINFO.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_COLLECTIONS_GROUP_GET_BILLINFO.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_COLLECTIONS_REPLACE_SCENARIO.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_COLLECTIONS_REPLACE_SCENARIO.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_COLLECTIONS_REPLACE_SCENARIO.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_COLLECTIONS_GROUP_CREATE.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_COLLECTIONS_GROUP_CREATE.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_COLLECTIONS_GROUP_CREATE.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_SHARING_GROUP_MODIFY.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_SHARING_GROUP_MODIFY.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_SHARING_GROUP_MODIFY.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_PRICE_COMMIT_PRODUCT.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_PRICE_COMMIT_PRODUCT.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_PRICE_COMMIT_PRODUCT.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_COLLECTIONS_ASSIGN_AGENT.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_COLLECTIONS_ASSIGN_AGENT.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_COLLECTIONS_ASSIGN_AGENT.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_BAL_GET_ACCT_BILLINFO.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_BAL_GET_ACCT_BILLINFO.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_BAL_GET_ACCT_BILLINFO.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_CUST_CREATE_PROFILE.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_CUST_CREATE_PROFILE.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_CUST_CREATE_PROFILE.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_AR_ITEM_ADJUSTMENT.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_AR_ITEM_ADJUSTMENT.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_AR_ITEM_ADJUSTMENT.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_BILL_DEBIT.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_BILL_DEBIT.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_BILL_DEBIT.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_TRANS_ABORT.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_TRANS_ABORT.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_TRANS_ABORT.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_AR_EVENT_ADJUSTMENT.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_AR_EVENT_ADJUSTMENT.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_AR_EVENT_ADJUSTMENT.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_AR_BILL_ADJUSTMENT.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_AR_BILL_ADJUSTMENT.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_AR_BILL_ADJUSTMENT.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_BILL_MAKE_BILL_NOW.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_BILL_MAKE_BILL_NOW.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_BILL_MAKE_BILL_NOW.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_CANCEL_DISCOUNT.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_CANCEL_DISCOUNT.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_CANCEL_DISCOUNT.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_PURCHASE_DEAL.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_PURCHASE_DEAL.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_PURCHASE_DEAL.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_CUST_DELETE_PROFILE.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_CUST_DELETE_PROFILE.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_CUST_DELETE_PROFILE.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/jca_adapter/BRMAdapterServletClient.war, /brmapp/portal/7.5/apps/brm_integrations/jca_adapter/BRMAdapterServletClient.war.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/jca_adapter/BRMAdapterServletClient.war 
backing up /brmapp/portal/7.5/apps/brm_integrations/jca_adapter/OracleBRMJCA15Adapter.rar, /brmapp/portal/7.5/apps/brm_integrations/jca_adapter/OracleBRMJCA15Adapter.rar.20286776.bak 
